"","species","size","rep","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","model","pos"
"1023","narrow_avg","4","rep52",0.681884765625,0.983708716276728,0.0293413059936753,0.938433843384339,0.885988598859886,NA,0.628088116266593,0.00209447413363905,"glm",0.6
"1043","narrow_avg","4","rep53",0.662841796875,0.984138060444557,0.0937678414427871,0.938433843384339,0.885988598859886,NA,0.667949099426099,0.00303587086031219,"glm",0.6
"1063","narrow_avg","4","rep54",0.68701171875,0.972967588625661,0.0751339515380103,0.938433843384339,0.885988598859886,NA,0.666754493810352,0.0193433558342198,"glm",0.6
"1083","narrow_avg","4","rep55",0.552978515625,0.982068457417766,0.00400580951792381,-0.938433843384339,0.885988598859886,NA,0.555318742146357,0.0280067728940308,"glm",0.6
"1103","narrow_avg","4","rep56",0.6435546875,0.978472688865941,0.0499016864104634,0.938433843384339,0.886003258339596,NA,0.636746206668364,0.0608344780340414,"glm",0.6
"1123","narrow_avg","4","rep57",0.639404296875,0.991576861296383,-0.00275344238275453,0.955388574840194,0.886135197974549,NA,0.572960801948467,0.00407944547822865,"glm",0.6
"1143","narrow_avg","4","rep58",0.621337890625,0.979008225315853,0.0345351643217032,0.938433843384339,0.888408712089672,NA,0.629289749530181,0.00658301428449889,"glm",0.6
"1163","narrow_avg","4","rep59",0.454345703125,0.988572297768681,-0.0141135191343203,-0.938433843384339,0.885988598859886,NA,0.427639285022493,0.000372647694670746,"glm",0.6
"1183","narrow_avg","4","rep60",0.60205078125,0.983814300708475,0.00487412726813839,-0.938433843384339,0.885988598859886,NA,0.510763232482856,0.00101677999231828,"glm",0.6
"1203","narrow_avg","4","rep61",0.571533203125,0.986292233294894,0.00815873896457385,0.938433843384339,0.885988598859886,NA,0.532609692250599,0.00519223617206678,"glm",0.6
"1223","narrow_avg","4","rep62",0.635498046875,0.983561832411818,0.0184153580020896,0.938433843384339,0.885988598859886,NA,0.580205021771658,0.0259158893571444,"glm",0.6
"1243","narrow_avg","4","rep63",0.544189453125,0.986010454909678,0.00102331615468335,-0.938433843384339,0.885988598859886,NA,0.489346320219609,0.00149918430237432,"glm",0.6
"1263","narrow_avg","4","rep64",0.688232421875,0.980785098979722,0.102418057552434,-0.938433843384339,0.885988598859886,NA,0.701555620235172,0.0123236494033939,"glm",0.6
"1283","narrow_avg","4","rep65",0.6826171875,0.980713677707426,0.0843537196669988,0.938433843384339,0.885988598859886,NA,0.688960968856092,0.0199478714428061,"glm",0.6
