"","species","size","rep","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","model","pos"
"962","broad_ext","4","rep49",0.720947265625,0.980076475193894,0.11465255855859,-0.871287128712871,0.979249924992499,NA,0.701370083099779,0.00176957751592361,"glm",0.6
"982","broad_ext","4","rep50",0.747802734375,0.983765265025746,0.117619432546455,0.871287128712871,0.979249924992499,NA,0.6693551874307,0.000304095930982268,"glm",0.6
"1002","broad_ext","4","rep51",0.668701171875,0.982198879375452,0.0661344868315324,0.871287128712871,0.979249924992499,NA,0.662159154800817,0.000843877044584748,"glm",0.6
"1022","broad_ext","4","rep52",0.579345703125,0.985140921381158,0.0524831109230545,-0.871287128712871,0.979249924992499,NA,0.515402821648633,0.00296180928171776,"glm",0.6
"1042","broad_ext","4","rep53",0.70654296875,0.983898146704498,0.0968124403701547,0.871287128712871,0.979249924992499,NA,0.653335933268506,0.00180399326980796,"glm",0.6
"1062","broad_ext","4","rep54",0.5576171875,0.987087075362366,0.00322433281747699,0.871287128712871,0.979249924992499,NA,0.511142712335516,0.00519627396051043,"glm",0.6
"1082","broad_ext","4","rep55",0.642333984375,0.981285710167215,0.026755291975434,-0.871287128712871,0.980505168963438,NA,0.625686874059314,0.0291835146374522,"glm",0.6
"1102","broad_ext","4","rep56",0.668212890625,0.985951760895313,0.00356624510068529,-0.86741840355126,0.979249924992499,NA,0.589992027530243,0.0022629046317379,"glm",0.6
"1122","broad_ext","4","rep57",0.725341796875,0.982432783004372,0.152425547792482,0.871287128712871,0.979249924992499,NA,0.677609108495684,0.00376200908119859,"glm",0.6
"1142","broad_ext","4","rep58",0.649169921875,0.982346465947214,0.0581051937942103,0.871287128712871,0.979249924992499,NA,0.574747690742135,0.000941131799876647,"glm",0.6
"1162","broad_ext","4","rep59",0.639404296875,0.984431734120268,0.0368479392723516,-0.871287128712871,0.979249924992499,NA,0.606101523211414,0.0176834106309103,"glm",0.6
"1182","broad_ext","4","rep60",0.74267578125,0.984415973008938,0.141995322944935,-0.871287128712871,0.979249924992499,NA,0.696145427859143,0.00356843414101339,"glm",0.6
"1202","broad_ext","4","rep61",0.741455078125,0.983869245476628,0.130365172192732,-0.871287128712871,0.979249924992499,NA,0.667984699972699,0.00205581705789504,"glm",0.6
"1222","broad_ext","4","rep62",0.614990234375,0.986863933504888,0.0259442262257783,0.871287128712871,0.979249924992499,NA,0.591940141181681,0.0212545988387916,"glm",0.6
"1242","broad_ext","4","rep63",0.65283203125,0.981972524910879,0.0153937514924446,-0.870053623292024,0.979249924992499,NA,0.576212036895584,0.01525160304366,"glm",0.6
"1262","broad_ext","4","rep64",0.5859375,0.985664282072942,0.0141933786342468,0.871287128712871,0.979249924992499,NA,0.55021597755571,0.00388500623772336,"glm",0.6
"1282","broad_ext","4","rep65",0.697509765625,0.985328512858276,0.0759338690884506,-0.871287128712871,0.979249924992499,NA,0.65023440201686,0.00560085698614761,"glm",0.6
"1302","broad_ext","4","rep66",0.701904296875,0.981572262495437,0.111844800375489,-0.871287128712871,0.979249924992499,NA,0.642719581933617,0.00417516821735308,"glm",0.6
"1322","broad_ext","4","rep67",0.64990234375,0.980962293747237,0.0568939725918347,-0.871287128712871,0.979249924992499,NA,0.625425143916187,0.000498955366897995,"glm",0.6
"1342","broad_ext","4","rep68",0.6240234375,0.981823150955659,0.0448101365002367,0.871287128712871,0.979249924992499,NA,0.566442568674264,0.00134954750825733,"glm",0.6
"1362","broad_ext","4","rep69",0.686767578125,0.980250905441764,0.0640526802221322,-0.871287128712871,0.979249924992499,NA,0.653208716287356,5.4000055941515e-05,"glm",0.6
"1382","broad_ext","4","rep70",0.740478515625,0.978427823825323,0.0955197500379725,-0.871287128712871,0.979399322352693,NA,0.702887947242222,0.0319433236061307,"glm",0.6
"1402","broad_ext","4","rep71",0.72021484375,0.98366362211698,0.125482143134905,0.871287128712871,0.979249924992499,NA,0.673427224626736,0.00192272465473216,"glm",0.6
"1422","broad_ext","4","rep72",0.679931640625,0.984660858109525,0.10992496787721,-0.871287128712871,0.979249924992499,NA,0.611154398889669,0.000361166873610885,"glm",0.6
"1442","broad_ext","4","rep73",0.7578125,0.984611103123266,0.11214354536112,-0.871287128712871,0.979249924992499,NA,0.678623393978063,0.00106337667641805,"glm",0.6
"1462","broad_ext","4","rep74",0.72021484375,0.981569670684989,0.146303845140355,-0.871287128712871,0.979249924992499,NA,0.646773396808555,0.00485721280880786,"glm",0.6
"1482","broad_ext","4","rep75",0.681396484375,0.983982315262929,0.115066673900378,-0.871287128712871,0.979249924992499,NA,0.628665047872647,0.00078237448930695,"glm",0.6
"1502","broad_ext","4","rep76",0.655517578125,0.984881563996628,0.083587563605,-0.871287128712871,0.979249924992499,NA,0.646299803441306,0.000486941090184653,"glm",0.6
"1522","broad_ext","4","rep77",0.675537109375,0.985981669074603,0.0847255290230998,0.871287128712871,0.979249924992499,NA,0.641764547460311,0.00578887548817099,"glm",0.6
"1542","broad_ext","4","rep78",0.55322265625,0.98511379965213,0.00205126344378197,0.871287128712871,0.979249924992499,NA,0.521407621417359,0.0104937225484471,"glm",0.6
"1562","broad_ext","4","rep79",0.753173828125,0.979835867593095,0.127940783806493,0.871287128712871,0.979249924992499,NA,0.686962899306669,0.000490790922811365,"glm",0.6
"1582","broad_ext","4","rep80",0.63916015625,0.985895039236544,0.0502490242042,0.871287128712871,0.979249924992499,NA,0.551805478268931,0.000231943759197754,"glm",0.6
"1602","broad_ext","4","rep81",0.696533203125,0.981924109366996,0.044541692170326,-0.871287128712871,0.979249924992499,NA,0.624640243416104,0.00668317424858163,"glm",0.6
"1622","broad_ext","4","rep82",0.552490234375,0.985889566927324,0.00416298293601669,0.873699958578253,0.979249924992499,NA,0.551143126887187,0.0825304152559559,"glm",0.6
"1642","broad_ext","4","rep83",0.68408203125,0.983975262372729,0.109673226429901,-0.871287128712871,0.979249924992499,NA,0.577486079857327,0.0042828185887138,"glm",0.6
"1662","broad_ext","4","rep84",0.801513671875,0.978094265348423,0.212447798658682,-0.871287128712871,0.979249924992499,NA,0.749059555668286,0.00953441644506001,"glm",0.6
"1682","broad_ext","4","rep85",0.7373046875,0.979481045594939,0.132936878928114,-0.871287128712871,0.979249924992499,NA,0.676122504429986,1.75408789347932e-05,"glm",0.6
"1702","broad_ext","4","rep86",0.674560546875,0.980601706269897,0.0204460171495664,-0.871287128712871,0.979249924992499,NA,0.622592372177117,0.0666695610515836,"glm",0.6
"1722","broad_ext","4","rep87",0.742431640625,0.984166882525805,0.121100887219762,-0.871287128712871,0.979249924992499,NA,0.68982159705453,0.00120205151235224,"glm",0.6
"1742","broad_ext","4","rep88",0.726806640625,0.984633878769617,0.112710983118737,-0.871287128712871,0.979249924992499,NA,0.657874674530763,0.00271110875764409,"glm",0.6
"1762","broad_ext","4","rep89",0.618408203125,0.986843379055613,0.000163814031510094,-0.871287128712871,0.979399322352693,NA,0.546429428159603,0.0111113035862175,"glm",0.6
"1782","broad_ext","4","rep90",0.614013671875,0.985836819818128,0.0243185961419519,-0.871287128712871,0.979249924992499,NA,0.555910929748644,0.00405545796637178,"glm",0.6
"1802","broad_ext","4","rep91",0.567138671875,0.986471309357517,-2.14063718826945e-06,0.871287128712871,0.979249924992499,NA,0.508810813270554,0.0292238791328519,"glm",0.6
"1822","broad_ext","4","rep92",0.609375,0.983125734277714,0.0336403664360514,0.871287128712871,0.979249924992499,NA,0.597127523316693,0.00395412426125366,"glm",0.6
