"","species","size","rep","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","model","pos"
"1901","broad_avg","4","rep96",0.59912109375,0.983340827855009,0.0144074757275718,0.938433843384339,0.885988598859886,NA,0.568553406504505,0.0200015880464772,"glm",0.6
"1921","broad_avg","4","rep97",0.51318359375,0.988060940537832,0.016509541578209,0.938433843384339,0.885988598859886,NA,0.586221921518434,0.0095468349384366,"glm",0.6
"1941","broad_avg","4","rep98",0.538818359375,0.989871691639556,1.90434147880181e-05,-0.938401992681384,0.885988598859886,NA,0.530642003642881,0.020320989402305,"glm",0.6
"1961","broad_avg","4","rep99",0.47216796875,0.990646370185759,-0.0077709952414784,0.938433843384339,0.885988598859886,NA,0.462960961970033,0.0184314846106896,"glm",0.6
"1981","broad_avg","4","rep100",0.607421875,0.986060244682089,0.00952576837438505,0.938433843384339,0.885988598859886,NA,0.55181739833336,0.00351468552777973,"glm",0.6
"5","broad_avg","8","rep1",0.72021484375,0.968916935685889,0.14744235775664,0.990808325356125,0.885988598859886,NA,0.688958513116767,0.0189499129689236,"glm",1.6
"25","broad_avg","8","rep2",0.57275390625,0.965551298608847,0.0365407218043142,0.964192461914794,-0.857349300436492,NA,0.607362440634865,0.0665572423868878,"glm",1.6
"45","broad_avg","8","rep3",0.497802734375,0.971503379457565,0.000216649021864046,0.939249924992499,0.966041521705505,NA,0.508860867357997,0.0529026684240867,"glm",1.6
"65","broad_avg","8","rep4",0.68701171875,0.959287311083067,0.0666555029435864,0.937520076792726,0.984656090081633,NA,0.643863342954523,0.0521978197287848,"glm",1.6
"85","broad_avg","8","rep5",0.567626953125,0.970947052936368,0.00361364056604727,0.965868586858686,0.997131021791724,NA,0.554628872314083,0.0478411668167565,"glm",1.6
"105","broad_avg","8","rep6",0.57958984375,0.970579023954256,0.0213538002826892,0.998031803180318,0.885988598859886,NA,0.564003346329571,0.0154134443239421,"glm",1.6
"125","broad_avg","8","rep7",0.570068359375,0.969233095106969,0.0145421914937156,0.94587114190935,0.818109810981098,NA,0.576181299899334,0.0477715104769756,"glm",1.6
"145","broad_avg","8","rep8",0.668212890625,0.956955740288644,0.0606550106778713,0.945217090177706,-0.885988598859886,NA,0.647987082885399,0.0868710177409483,"glm",1.6
"165","broad_avg","8","rep9",0.6444091796875,0.96773076139327,0.0140436441421394,0.942655526928517,0.897204843663177,NA,0.574292323921116,0.0149034481620439,"glm",1.6
"185","broad_avg","8","rep10",0.701904296875,0.967604158402289,0.118657301552247,0.988976140956261,-0.888255267612547,NA,0.706646075512701,0.031601139695877,"glm",1.6
"205","broad_avg","8","rep11",0.678955078125,0.973429098743032,0.0413120809252631,0.96772519765186,0.945286857666665,NA,0.634488757512632,0.0727068983359721,"glm",1.6
"225","broad_avg","8","rep12",0.5380859375,0.978089610710761,3.75272407028074e-05,0.955595559555956,-0.885988598859886,NA,0.494417944877432,0.0129207727430379,"glm",1.6
"245","broad_avg","8","rep13",0.623291015625,0.967533191027338,0.0148529154754162,0.952234569351222,-0.871323132313231,NA,0.560366169408843,0.0502127778639648,"glm",1.6
"265","broad_avg","8","rep14",0.6435546875,0.970754024735456,0.0507651705120452,0.967205779985452,0.954767476747675,NA,0.650263480903472,0.168025299113603,"glm",1.6
"285","broad_avg","8","rep15",0.618896484375,0.960475822619455,0.0406253364714018,0.963124478391079,0.875086111874336,NA,0.617383152931459,0.134713583850679,"glm",1.6
"305","broad_avg","8","rep16",0.600830078125,0.970167154652149,0.0168802446033506,0.994071407140714,0.966726139205365,NA,0.546610786669103,0.0213988000388206,"glm",1.6
"325","broad_avg","8","rep17",0.47509765625,0.978903162508902,-0.0105495274480878,0.938433843384339,0.885988598859886,NA,0.46208055431792,0.0696952190331117,"glm",1.6
"345","broad_avg","8","rep18",0.57177734375,0.970664057049067,0.0202205694729177,0.987902790279028,0.970897089708971,NA,0.627223031014353,0.0285173478886054,"glm",1.6
