"","species","size","rep","model","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","pos"
"977","broad_avg","8","rep62","glm",0.5634765625,0.982164309563092,0.00272748760122809,0.933351645381088,0.885988598859886,NA,0.551864745697247,0.157641037317571,2.84
"993","broad_avg","8","rep63","glm",0.61865234375,0.962542517835419,0.0101360071616664,0.986415379812254,0.969811932928022,NA,0.582890414854063,0.0960565119964192,2.84
"1009","broad_avg","8","rep64","glm",0.531982421875,0.97395814898049,0.00192335137098524,-0.0190939093909391,0.963996399639964,NA,0.507371504138498,0.0131411096149494,2.84
"1025","broad_avg","8","rep65","glm",0.655517578125,0.965615915518886,0.0142630128750295,-0.51933492773515,0.918488012402653,NA,0.641180521860464,0.0326690269202996,2.84
"1041","broad_avg","8","rep66","glm",0.66455078125,0.966366907203103,0.0130115358110376,0.979802021430922,0.994832817696649,NA,0.621570254447679,0.0535556104581205,2.84
"1057","broad_avg","8","rep67","glm",0.557861328125,0.969438124140453,0.00430097148018629,0.995575717648709,0.980798079807981,NA,0.545723054648248,0.0419458917666103,2.84
"1073","broad_avg","8","rep68","glm",0.54541015625,0.975432019706058,0.00527287071372549,0.969174536102246,-0.797935793579358,NA,0.543926886562992,0.0246512695301213,2.84
"1089","broad_avg","8","rep69","glm",0.72705078125,0.966108311775903,0.0207039429061768,0.979046178199543,0.955806408473958,NA,0.741261529078734,0.0264799572956534,2.84
"1105","broad_avg","8","rep70","glm",0.522216796875,0.978850558625204,-0.00863584396577321,0.941692718671871,0.898589858985899,NA,0.498776248985663,0.171487829425101,2.84
"1121","broad_avg","8","rep71","glm",0.571533203125,0.972313469440628,0.000667133402576629,0.956668141553106,0.995343534353435,NA,0.514228850038912,0.0790656511412351,2.84
"1137","broad_avg","8","rep72","glm",0.5625,0.974653960017921,0.00278732500669701,0.9599399939994,0.998835883588359,NA,0.548873681641387,0.01012885807399,2.84
"1153","broad_avg","8","rep73","glm",0.634521484375,0.969302758176628,0.00488447919796218,0.956089645766062,0.915895589558956,NA,0.563328300071883,0.0775641860425076,2.84
"1169","broad_avg","8","rep74","glm",0.59912109375,0.974172079148986,0.00518023088214834,-0.934737473747375,0.999051496896578,NA,0.565983386724091,0.0129026879446381,2.84
"1185","broad_avg","8","rep75","glm",0.59326171875,0.965897040138121,0.00804368354398943,0.997535655998672,0.991076508303188,NA,0.563339590025637,0.179915690151237,2.84
"1201","broad_avg","8","rep76","glm",0.689453125,0.969875786269051,0.01040636979977,0.99044704470447,0.967006676688042,NA,0.612601699875427,0.0621083890297846,2.84
"1217","broad_avg","8","rep77","glm",0.5087890625,0.972674632374461,0.00346440903202152,-0.954984569044008,0.98952295229523,NA,0.521637588479056,0.0131968349534416,2.84
"1233","broad_avg","8","rep78","glm",0.587890625,0.973292936352081,0.00619435743605755,0.991605589836737,0.970897089708971,NA,0.57581034780392,0.0618323183363262,2.84
"1249","broad_avg","8","rep79","glm",0.599853515625,0.971082244861737,0.00604545131445871,0.940782330973255,-0.407176717671767,NA,0.538033219243103,0.0205913167583979,2.84
"1265","broad_avg","8","rep80","glm",0.577880859375,0.97060404375737,0.00515640744325723,0.985178517851785,0.96586795682798,NA,0.544398427149783,0.0313196103932513,2.84
"1281","broad_avg","8","rep81","glm",0.589111328125,0.975333991653246,0.00386644517046926,0.995110766058279,0.992727272727273,NA,0.559331681037761,0.105117229758789,2.84
"1297","broad_avg","8","rep82","glm",0.712890625,0.966400562584351,0.0132196421847125,0.985903042615905,0.998029904161665,NA,0.618981356328334,0.0287985881878831,2.84
"1313","broad_avg","8","rep83","glm",0.607421875,0.971331366236783,0.00857477022077784,0.994904336232081,-0.886156615661566,NA,0.611184978752427,0.0300364172149856,2.84
"1329","broad_avg","8","rep84","glm",0.61328125,0.977276496703079,0.00726523436234147,0.978205371456314,0.834722444019049,NA,0.597564412658264,0.1384643824915,2.84
"1345","broad_avg","8","rep85","glm",0.596435546875,0.972235976416278,0.00739028266034614,0.979665559101298,0.977114165456025,NA,0.573752965147246,0.0258114661640853,2.84
"1361","broad_avg","8","rep86","glm",0.61865234375,0.964606295893798,0.010365843467792,0.962377448129955,0.960380453445204,NA,0.603230435143995,0.0119501626706932,2.84
"1377","broad_avg","8","rep87","glm",0.671142578125,0.966398322594641,0.0122175767427199,1,-0.663570357035704,NA,0.620505211326283,0.0111365784068887,2.84
