"","species","size","rep","model","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","pos"
"1043","narrow_avg","8","rep66","GLM",0.798828125,0.934174691644679,0.0479124590208785,0.897035441663604,-0.663186318631863,NA,0.735077906264823,0.0821813505758478,2.84
"1059","narrow_avg","8","rep67","GLM",0.82373046875,0.937360539986626,0.0414123226512286,0.918052439694053,-0.885988598859886,NA,0.747390857264409,0.0105091902330321,2.84
"1075","narrow_avg","8","rep68","GLM",0.733154296875,0.95622469306312,0.0221793969520002,0.995730276466768,0.899955981720121,NA,0.655801446175623,0.00794170506290096,2.84
"1091","narrow_avg","8","rep69","GLM",0.80517578125,0.946840549738463,0.0322377165359546,0.979802021430922,0.992785889946427,NA,0.712745166183386,0.127679135313506,2.84
"1107","narrow_avg","8","rep70","GLM",0.805419921875,0.950316170343522,0.0308947749812209,0.93547291435969,0.705466546654666,NA,0.723490371885411,0.0164903026687068,2.84
"1123","narrow_avg","8","rep71","GLM",0.80078125,0.945692195707503,0.0472819833886246,0.901414030690377,-0.798667369169925,NA,0.776658085534066,0.268378349182052,2.84
"1139","narrow_avg","8","rep72","GLM",0.793701171875,0.941722097506081,0.0364046634073916,0.930759205019373,0.950819081908191,NA,0.73252162170166,0.110451794175139,2.84
"1155","narrow_avg","8","rep73","GLM",0.716552734375,0.935448816349938,0.0438253825516195,0.984671026055865,0.690534570568653,NA,0.698845988993326,4.07030526940216e-15,2.84
"1171","narrow_avg","8","rep74","GLM",0.825927734375,0.950125719808617,0.0349540557229068,0.931604007732625,0.976855918925107,NA,0.75605649715378,0.14106606958025,2.84
"1187","narrow_avg","8","rep75","GLM",0.737548828125,0.963866935008022,0.0133234159690578,0.92907986373319,0.925619789123756,NA,0.6340835590779,0.0533893008159596,2.84
"1203","narrow_avg","8","rep76","GLM",0.802978515625,0.941820581670663,0.0394175321491252,0.925710372616294,0.997260014296212,NA,0.752935105490775,0.0994421117342122,2.84
"1219","narrow_avg","8","rep77","GLM",0.778076171875,0.946706162278253,0.0340357158775371,0.95157921656344,0.997516292030326,NA,0.759968184874726,0.0741819535371597,2.84
"1235","narrow_avg","8","rep78","GLM",0.761962890625,0.934105541012875,0.0410797025747114,0.88238759102,-0.885988598859886,NA,0.692923455140999,0.0360335645239728,2.84
"1251","narrow_avg","8","rep79","GLM",0.732666015625,0.954038928815436,0.022519630863566,0.99022874637537,0.908654386278477,NA,0.664730343245973,0.11906583637234,2.84
"1267","narrow_avg","8","rep80","GLM",0.7763671875,0.94469736362586,0.0342751136179222,0.957529321035363,0.90102723218591,NA,0.719620944634358,0.0131688427236472,2.84
"1283","narrow_avg","8","rep81","GLM",0.76171875,0.948769045979049,0.0280920131707424,0.968814797380068,0.985572147247585,NA,0.716002852931082,0.0251993232332166,2.84
"1299","narrow_avg","8","rep82","GLM",0.77587890625,0.947987037633637,0.0299855426749879,0.909439813429419,-0.885988598859886,NA,0.698746054548115,0.0964305095992277,2.84
"1315","narrow_avg","8","rep83","GLM",0.82177734375,0.957274460868875,0.0312316095489209,0.889873691890457,0.868126445924331,NA,0.738649491019708,0.00424590530005199,2.84
"1331","narrow_avg","8","rep84","GLM",0.816650390625,0.949032506448454,0.0335599804292791,0.952234569351222,0.99350192460488,NA,0.764401522871208,0.079362249705543,2.84
"1347","narrow_avg","8","rep85","GLM",0.783935546875,0.948574994136677,0.0332675268506565,0.946699096254298,0.939535943641995,NA,0.740548814213867,0.00869459346342733,2.84
"1363","narrow_avg","8","rep86","GLM",0.781005859375,0.956786342372539,0.0221229177003554,0.977060634247866,-0.705466546654666,NA,0.736132611782609,0.0327566495469968,2.84
"1379","narrow_avg","8","rep87","GLM",0.807861328125,0.937903632258143,0.0439085199007412,0.909439813429419,0.982359298179292,NA,0.748190629592876,0.111673815037358,2.84
"1395","narrow_avg","8","rep88","GLM",0.79248046875,0.942335508060379,0.0396226128335327,0.943803515837725,0.984267770901891,NA,0.738796070920894,0.142871021585357,2.84
"1411","narrow_avg","8","rep89","GLM",0.82861328125,0.934191811418732,0.0511291669291049,0.903485306520823,0.969975932861267,NA,0.782638130300723,0.0117962006226153,2.84
"1427","narrow_avg","8","rep90","GLM",0.749755859375,0.949792458588679,0.0299514450021771,0.903189667322161,0.97974289210585,NA,0.702083192376043,0.0893340523811498,2.84
"1443","narrow_avg","8","rep91","GLM",0.68408203125,0.958242902709565,0.0204219239231353,0.981637602556576,0.8265767500854,NA,0.637941377695575,0.00438748396419253,2.84
"1459","narrow_avg","8","rep92","GLM",0.864990234375,0.938567739068265,0.0485445104492646,0.958286929404193,0.99104363277797,NA,0.845455904212667,0.146636052454649,2.84
"1475","narrow_avg","8","rep93","GLM",0.754638671875,0.956974105499194,0.0225799284769683,0.953566226198602,-0.886804680468047,NA,0.676379876981708,0.0328949582698025,2.84
"1491","narrow_avg","8","rep94","GLM",0.842041015625,0.938519448320288,0.0511001903628952,0.945217090177706,0.969340622455945,NA,0.811625124775024,0.0418873188691401,2.84
"1507","narrow_avg","8","rep95","GLM",0.738037109375,0.935727297639313,0.0415164599827473,0.894507693874927,0.932405082341863,NA,0.681837575546238,0.189979733975624,2.84
"1523","narrow_avg","8","rep96","GLM",0.7685546875,0.942612991824723,0.0469148414410662,0.937912081071651,0.851796904725334,NA,0.740344732933384,0.0394701032103014,2.84
"1539","narrow_avg","8","rep97","GLM",0.814453125,0.94321359290976,0.0373054356642476,0.931604007732625,0.995368814011968,NA,0.73058149037042,0.0503743905164607,2.84
"1555","narrow_avg","8","rep98","GLM",0.711181640625,0.947669401797721,0.0231563192085058,0.94053629698026,0.832367236723672,NA,0.622225697260795,0.0284454992057162,2.84
"1571","narrow_avg","8","rep99","GLM",0.73681640625,0.956828071782941,0.0194128894002611,0.980031664970337,-0.771833183318332,NA,0.675073887751419,0.0210711172315725,2.84
"1587","narrow_avg","8","rep100","GLM",0.850341796875,0.947181868485545,0.0378725194324642,0.982807521642357,0.992727272727273,NA,0.798654286507863,0.0640993686603546,2.84
"7","narrow_avg","16","rep1","GLM",0.8193359375,0.907786456033345,0.0645361094558823,0.964770456135217,0.98704595819814,NA,0.767462894099194,0.058087589939938,3.84
"23","narrow_avg","16","rep2","GLM",0.7529296875,0.885895144368312,0.0639747400647193,0.925671479673722,1,NA,0.693069953569838,0.0746098216713161,3.84
"39","narrow_avg","16","rep3","GLM",0.718994140625,0.91014984129973,0.0439134069769486,0.922327294039983,0.993471347134714,NA,0.639803049728258,0.0445332368678646,3.84
"55","narrow_avg","16","rep4","GLM",0.78662109375,0.90109153507376,0.0649946016840407,0.957529321035363,0.971045627564379,NA,0.716537923817376,0.0312749386762721,3.84
"71","narrow_avg","16","rep5","GLM",0.766845703125,0.886377895517652,0.0694594589035304,0.944734557058092,0.990670099822951,NA,0.766849179843423,0.105935976686799,3.84
"87","narrow_avg","16","rep6","GLM",0.764404296875,0.88651459022287,0.0602969510652157,0.937372888618915,0.915895589558956,NA,0.65811323944984,0.0700384910724797,3.84
"103","narrow_avg","16","rep7","GLM",0.799072265625,0.905618356935624,0.05615863454753,0.960966945327844,0.992607283488875,NA,0.700087792661203,0.236412294988551,3.84
"119","narrow_avg","16","rep8","GLM",0.781982421875,0.922107045663868,0.0377891578176668,0.982837372028219,0.859141914191419,NA,0.681611581603712,0.0401574540903488,3.84
"135","narrow_avg","16","rep9","GLM",0.771728515625,0.910426486009328,0.0536499432361569,0.983051714094909,0.939342505558426,NA,0.741247428341282,0.142486727214827,3.84
"151","narrow_avg","16","rep10","GLM",0.81298828125,0.897328228788905,0.0604988199919027,0.980169763480672,0.990540754035749,NA,0.759635650239875,0.0976786955225388,3.84
"167","narrow_avg","16","rep11","GLM",0.816162109375,0.904723949391773,0.0582215083657222,0.961909172406813,0.86036603660366,NA,0.730378885640375,0.101208920762956,3.84
"183","narrow_avg","16","rep12","GLM",0.7509765625,0.920786924465366,0.0468666944208799,0.960419921861548,0.984598559759921,NA,0.725511215141149,0.208035941532305,3.84
"199","narrow_avg","16","rep13","GLM",0.78076171875,0.906401956951797,0.0588536970829854,0.927284198937176,-0.787842784278428,NA,0.701530655022872,0.164864438263416,3.84
"215","narrow_avg","16","rep14","GLM",0.80126953125,0.885365501191758,0.0817965053839836,0.905647845358217,-0.885252985223537,NA,0.76146543011097,0.15393469848947,3.84
"231","narrow_avg","16","rep15","GLM",0.79931640625,0.907787475277635,0.060702784891064,0.934089566539292,0.995343534353435,NA,0.744327881139569,0.0939192856407858,3.84
"247","narrow_avg","16","rep16","GLM",0.81884765625,0.893825408007153,0.0692372963972092,0.966234634286109,0.982090223898627,NA,0.76196574131587,0.0533876031753486,3.84
"263","narrow_avg","16","rep17","GLM",0.856201171875,0.90262620328659,0.0663882909558099,0.954198775066345,0.153147314731473,NA,0.774529643796747,0.0303936340732718,3.84
"279","narrow_avg","16","rep18","GLM",0.817626953125,0.913243248179148,0.0464752983313268,0.993391459696687,0.998715669897186,NA,0.815215078555355,0.0564331082921894,3.84
"295","narrow_avg","16","rep19","GLM",0.845703125,0.877208308125559,0.104229156957263,0.913367461007934,0.846048604860486,NA,0.814695486308253,0.26921436110454,3.84
"311","narrow_avg","16","rep20","GLM",0.810791015625,0.885391626504667,0.0802894627308065,0.911877890840188,0.997669092261521,NA,0.719100077024194,0.103873292895112,3.84
"327","narrow_avg","16","rep21","GLM",0.7578125,0.91052036692366,0.0534668138531569,0.949265070626412,0.846048604860486,NA,0.71010613204887,0.126578559292491,3.84
"343","narrow_avg","16","rep22","GLM",0.775146484375,0.90215852300235,0.0638907514495948,0.922327294039983,0.72032403240324,NA,0.759743931596917,0.119240480164068,3.84
"359","narrow_avg","16","rep23","GLM",0.687255859375,0.899813810168177,0.0423925331208637,0.935989107944587,0.964788478847885,NA,0.62418835710871,0.0865850033202226,3.84
"375","narrow_avg","16","rep24","GLM",0.81787109375,0.893159225942822,0.0908906603672454,0.913144293029707,0.970013630444966,NA,0.788743694519748,0.0421039577390128,3.84
"391","narrow_avg","16","rep25","GLM",0.7333984375,0.908768101488292,0.0449935254851199,0.954956497669623,0.997669092261521,NA,0.670491834020538,0.0440783126692759,3.84
"407","narrow_avg","16","rep26","GLM",0.8115234375,0.904475945876703,0.0579081138921101,0.953512935775844,-0.0519051905190519,NA,0.766955482471777,0.0546809397092557,3.84
"423","narrow_avg","16","rep27","GLM",0.7705078125,0.924308888701713,0.0412944960768597,0.930305724226963,0.985006103383309,NA,0.653206843836312,0.130697222067624,3.84
"439","narrow_avg","16","rep28","GLM",0.78759765625,0.908642254499863,0.0562764442075718,0.958806827396129,0.998029904161665,NA,0.738086860298344,0.101689947816034,3.84
"455","narrow_avg","16","rep29","GLM",0.798828125,0.903451925068624,0.0619897117364108,0.948079052291477,0.98392735060971,NA,0.759904808134749,0.0424041217419865,3.84
"471","narrow_avg","16","rep30","GLM",0.790771484375,0.912882060118158,0.0647054294516358,0.961578143221588,0.955476489022229,NA,0.757638804230217,0.219828205875864,3.84
"487","narrow_avg","16","rep31","GLM",0.76318359375,0.896413771368761,0.0557232375456023,0.953437417974231,-0.216237623762376,NA,0.731828547371873,0.0688441103439341,3.84
"503","narrow_avg","16","rep32","GLM",0.763427734375,0.879210684420427,0.0725072360459239,0.913311271890118,0.989688888760112,NA,0.695243256690637,0.0382634563579975,3.84
"519","narrow_avg","16","rep33","GLM",0.831787109375,0.906561052310176,0.0654292443535327,0.950862983842259,0.964298068155099,NA,0.756859857868592,0.199258657963203,3.84
"535","narrow_avg","16","rep34","GLM",0.78564453125,0.909256972468758,0.058143587731109,0.939208289582839,0.977305852286582,NA,0.743644491991658,0.0699204723855865,3.84
"551","narrow_avg","16","rep35","GLM",0.660400390625,0.926541667307,0.0236559448825902,0.979595381769542,0.934521452145215,NA,0.595852153985735,0.095937836482115,3.84
"567","narrow_avg","16","rep36","GLM",0.79443359375,0.923705325441418,0.0420650263201097,0.961578143221588,-0.824422442244224,NA,0.699613100539192,0.104980913386986,3.84
"583","narrow_avg","16","rep37","GLM",0.7841796875,0.899731325616711,0.0666318955514036,0.909439813429419,0.993291715547363,NA,0.73431584735967,0.207603667818436,3.84
"599","narrow_avg","16","rep38","GLM",0.76953125,0.906053308421134,0.053090529797573,0.950201816733253,0.738073807380738,NA,0.678178070333418,0.0539999245263001,3.84
"615","narrow_avg","16","rep39","GLM",0.755126953125,0.912255790203686,0.0509789157025557,0.928615717036719,0.987880744112582,NA,0.708590633686902,0.0205799223947149,3.84
"631","narrow_avg","16","rep40","GLM",0.8173828125,0.893567454809429,0.071719106635225,0.949265070626412,0.942958295829583,NA,0.783041421444781,0.140233841889801,3.84
"647","narrow_avg","16","rep41","GLM",0.8505859375,0.892596740382451,0.0752123494530047,0.958274436088923,0.94392973773311,NA,0.796860588149764,0.221385114784602,3.84
"663","narrow_avg","16","rep42","GLM",0.772705078125,0.894987022312969,0.0630908149813073,0.927268057017264,-0.885988598859886,NA,0.69735720133485,0.0348394267790047,3.84
"679","narrow_avg","16","rep43","GLM",0.74560546875,0.888371443978637,0.0667386522038652,0.957614100917228,0.964415693742021,NA,0.721774030351961,0.104852689527567,3.84
"695","narrow_avg","16","rep44","GLM",0.75830078125,0.90079176687341,0.0628079220880287,0.930305724226963,0.958716377935569,NA,0.699762905769577,0.0355453694357658,3.84
"711","narrow_avg","16","rep45","GLM",0.753662109375,0.901295503403059,0.0645210195504848,0.961578143221588,0.979866994630642,NA,0.760357028741744,0.0713093417327704,3.84
"727","narrow_avg","16","rep46","GLM",0.7998046875,0.902652816602986,0.0768988783543142,0.88238759102,0.905516726446379,NA,0.736850695633763,0.132357447284283,3.84
"743","narrow_avg","16","rep47","GLM",0.692138671875,0.910724523234701,0.0425457827590558,0.961578143221588,0.910366486446497,NA,0.640762839877843,0.123386086168801,3.84
"759","narrow_avg","16","rep48","GLM",0.7900390625,0.908761908840115,0.0574429360001891,0.97076386863788,0.934018546813399,NA,0.736430948409934,0.131966599319565,3.84
"775","narrow_avg","16","rep49","GLM",0.774658203125,0.915211267777202,0.0553914303211388,0.93547291435969,0.983847868211195,NA,0.731186132202033,0.176501235266011,3.84
"791","narrow_avg","16","rep50","GLM",0.7724609375,0.895874075093714,0.0841353012311536,0.910145503301034,0.839222727502566,NA,0.749052615454652,0.00602968112969737,3.84
"807","narrow_avg","16","rep51","GLM",0.817138671875,0.909305372030652,0.0558160893970335,0.972718940096604,0.976790247386374,NA,0.76439665939385,0.0234046283080629,3.84
"823","narrow_avg","16","rep52","GLM",0.773681640625,0.858051114543391,0.114283511932728,0.907709459860886,0.855343079368774,NA,0.731604184190259,0.03589063290568,3.84
"839","narrow_avg","16","rep53","GLM",0.7978515625,0.893158680824088,0.071680483016063,0.961578143221588,0.985442182847755,NA,0.763712420734642,0.166227633836649,3.84
